主分类(中文)	HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
泌尿生殖系统的异常	HP:0000028	Cryptorchidism	隐睾	Absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the testis.	阴囊内一侧或双侧睾丸缺如，是由于睾丸未通过腹股沟管下降到阴囊。
泌尿生殖系统的异常	HP:0000029	Testicular atrophy	睾丸萎缩	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.	睾丸萎缩表现为体积减小和潜在的生育能力丧失。
肿瘤;泌尿生殖系统的异常	HP:0000030	Testicular gonadoblastoma	睾丸性腺母细胞瘤	The presence of a `gonadoblastoma` (MPATH:315) of the `testis` (FMA:7210).	睾丸形成性腺母细胞瘤。
免疫系统的异常;泌尿生殖系统的异常	HP:0000031	Epididymitis	附睾炎	The presence of `inflammation` (MPATH:212) of the `epididymis` (FMA:18255).	附睾发生的炎症 。
泌尿生殖系统的异常	HP:0000032	Abnormality of male external genitalia	男性外生殖器异常	An abnormality of `male external genitalia` (FMA:45642).	男性外生殖器的异常。
泌尿生殖系统的异常	HP:0000033	Ambiguous genitalia, male	外阴性别不明，男性	`Ambiguous genitalia` (HP:0000062) in an individual with XY genetic gender.	`遗传学性别为XY个体的外阴性别不明。
泌尿生殖系统的异常	HP:0000034	Hydrocele testis	睾丸鞘膜积液	Accumulation of clear fluid in the  between the layers of membrane (tunica vaginalis) surrounding the testis.	睾丸鞘膜层之间的透明液体积蓄。
泌尿生殖系统的异常	HP:0000035	Abnormality of the testis	睾丸异常	An anomaly of the testicle (the male gonad).	睾丸（男性性腺）的异常。
泌尿生殖系统的异常	HP:0000036	Abnormality of the penis	阴茎异常		
泌尿生殖系统的异常	HP:0000037	Male pseudohermaphroditism	男性假两性畸形	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.	两性畸形是指性腺的形态和外生殖器不吻合。男性假两性畸形的染色体核型为男性（XY），但外生殖器呈不完全男性化、模棱两可或完全女性化。如果有性腺存在，一般是睾丸。
泌尿生殖系统的异常	HP:0000039	Epispadias	尿道上裂	Displacement of the urethral opening on the dorsal (superior) surface of the penis.	尿道口开口异常，开在阴茎背侧（上面）。
泌尿生殖系统的异常	HP:0000040	Enlarged penis	阴茎增大		
泌尿生殖系统的异常	HP:0000041	Chordee	阴茎下曲	A condition in which the head of the penis curves downward.	阴茎向下弯曲。
泌尿生殖系统的异常	HP:0000042	Absent external genitalia	外生殖器缺如	Lack of external genitalia in a male or female individual.	男性或女性无外生殖器。
内分泌系统的异常;泌尿生殖系统的异常	HP:0000044	Hypogonadotrophic hypogonadism	低促性腺素性功能减退症	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).	低促性腺素性功能减退症的特征是性腺（男性的睾丸，女性的卵巢）功能降低，是由于缺乏性腺刺激垂体激素，如卵泡刺激素（FSH）和促黄体生成激素（LH）。
泌尿生殖系统的异常	HP:0000045	Abnormality of the scrotum	阴囊异常		
泌尿生殖系统的异常	HP:0000046	Scrotal hypoplasia	阴囊发育不良		
泌尿生殖系统的异常	HP:0000047	Hypospadias	尿道下裂	Displacement of the urethral opening on the ventral (inferior) surface of the penis.	尿道口开口位于阴茎腹侧面。
泌尿生殖系统的异常	HP:0000048	Bifid scrotum	阴囊裂	Separation of the two halves of the scrotum, whereby commonly the 2 halves of the scrotum meet above the penis.	阴囊左右两部分分离，通常在阴茎根上部汇合。
泌尿生殖系统的异常	HP:0000049	Shawl scrotum	披肩状阴囊	A condition in which the upper scrotal skin rises over the base of the penis.	阴囊上部皮肤移至阴茎背面根部。
泌尿生殖系统的异常	HP:0000050	Hypoplastic male external genitalia	男性外生殖器发育不良	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).	男性外生殖器（包括阴茎、阴囊和尿道）全部或部分发育低下。
泌尿生殖系统的异常	HP:0000051	Perineal hypospadias	会阴型尿道下裂	Hypospadias with location of the urethral meatus in the perineal region.	尿道口的位置会阴部的尿道下裂。
泌尿生殖系统的异常	HP:0000052	Urethral atresia, male	男性尿道闭锁	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.	一种先天性异常，男性的尿道开口闭锁或未发育形成。
泌尿生殖系统的异常	HP:0000053	Macroorchidism	巨大睾丸	The presence of abnormally large testes.	异常的大睾丸。
泌尿生殖系统的异常	HP:0000054	Micropenis	小阴茎	Abnormally small `penis` (FMA:9707). At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.	异常小的阴茎。出生时，正常阴茎大约长3厘米（从耻骨结节到阴茎顶端的拉直了的长度），小于2.0-2.5厘米为小阴茎。
泌尿生殖系统的异常	HP:0000055	Abnormality of female external genitalia	女性外生殖器异常	An abnormality of the `female external genitalia` (FMA:45649).	女性外生殖器的异常。
泌尿生殖系统的异常	HP:0000056	Abnormality of the clitoris	阴蒂异常	An abnormality of the `clitoris` (FMA:9909).	阴蒂的异常。
	HP:0000057	Clitoromegaly	阴蒂肥大	`Increased size` (PATO:0000586) of the `clitoris` (FMA:9909).	阴蒂体积增大。
泌尿生殖系统的异常	HP:0000058	Abnormality of the labia	阴唇异常	An anomaly of the labia, the externally visible portions of the vulva.	阴唇的异常，阴蒂是女阴外部可见部分。
泌尿生殖系统的异常	HP:0000059	Hypoplastic labia majora	大阴唇发育不良	Undergrowth of the outer labia.	大阴唇发育低下。
泌尿生殖系统的异常	HP:0000060	Clitoral hypoplasia	阴蒂发育不良	Developmental hypoplasia of the `clitoris` (FMA:9909).	阴蒂的发育低下。
泌尿生殖系统的异常	HP:0000061	Ambiguous genitalia, female	外阴性别不明，女性	`Ambiguous genitalia` (HP:0000062) in an individual with XX genetic gender.	遗传学性别为XX个体的外阴性别不明。
泌尿生殖系统的异常	HP:0000062	Ambiguous genitalia	外阴性别不明	A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.	根据生殖器外型无法确定是属于哪一种性别。外阴性别不明可以使用Prader计分来进行评估:Prader 0:正常女性外生殖器；Prader 1:女性外阴但阴蒂增大；Prader 2:阴蒂较大，阴唇部分融合，形成漏斗状阴道口；Prader 3:阴茎增大，阴唇完全融合形成尿生殖窦，有单一的尿道开口。Prader 4:阴囊完全融合，泌尿生殖口在阴茎的根部或阴茎上，类似尿道下裂；Prader 5:正常男性外生殖器。Prader 1-4 诊断为外阴性别不明。
泌尿生殖系统的异常	HP:0000063	Fused labia minora	小阴唇融合	Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.	由于阴道阻塞使阴唇粘连而造成的小阴唇融合。
泌尿生殖系统的异常	HP:0000064	Hypoplastic labia minora	小阴唇发育不良		
泌尿生殖系统的异常	HP:0000065	Labial hypertrophy	阴唇肥厚		
泌尿生殖系统的异常	HP:0000066	Labial hypoplasia	阴唇发育不良		
泌尿生殖系统的异常	HP:0000067	Urethral atresia, female	女性尿道闭锁	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.	一种先天性异常，女性的尿道开口闭锁或未发育形成。
泌尿生殖系统的异常	HP:0000068	Urethral atresia	尿道闭锁	Congenital anomaly characterized by closure or failure to develop an opening in the urethra.	一种先天性异常，尿道开口闭锁或未发育形成。
泌尿生殖系统的异常	HP:0000069	Abnormality of the ureter	输尿管异常	An abnormality of the `ureter` (FMA:9704).	输尿管的异常。
泌尿生殖系统的异常	HP:0000070	Ureterocele	输尿管囊肿	A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.	输尿管远端段先天性囊状扩张。
泌尿生殖系统的异常	HP:0000071	Ureteral stenosis	输尿管狭窄	The presence of a stenotic, i.e., `constricted` (PATO:0001847) `ureter` (FMA:9704).	输尿管狭窄，即输尿管缢缩。
泌尿生殖系统的异常	HP:0000072	Hydroureter	输尿管积水	The distention of the `ureter` (FMA:9704) with urine.	输尿管内潴留过量尿液导致其扩张。
泌尿生殖系统的异常	HP:0000073	Ureteral duplication	输尿管重复	A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.	一种发育异常，一侧肾脏通过两根输尿管（而不是一根）连接到膀胱。
泌尿生殖系统的异常	HP:0000074	Ureteropelvic junction obstruction	肾盂输尿管连接部梗阻	Blockage of urine flow from the renal pelvis to the proximal ureter.	从肾盂到近端输尿管尿流受到阻塞。
泌尿生殖系统的异常	HP:0000075	Renal duplication	肾重复	A congenital anomaly of the urinary tract, in which the `kidney` (FMA:7203) is duplicated and is drained via two separate renal pelves and ureters.	先天性泌尿道异常，其中肾发生并分别经由两个独立的肾盂和输尿管导出。
泌尿生殖系统的异常	HP:0000076	Vesicoureteral reflux	膀胱输尿管返流	Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.	尿液从膀胱进入输尿管或向肾的异常（反向）流动，与输尿管膀胱处的瓣膜结构异常相关，或存在其他原因。
泌尿生殖系统的异常	HP:0000077	Abnormality of the kidney	肾脏异常	An abnormality of the `kidney` (FMA:7203).	肾脏的异常。
泌尿生殖系统的异常	HP:0000078	Abnormality of the genital system	生殖系统异常	An abnormality of the `genital system` (FMA:7160).	生殖系统的异常。
泌尿生殖系统的异常	HP:0000079	Abnormality of the urinary system	泌尿系统异常	An abnormality of the `urinary system` (FMA:7159).	泌尿系统的异常。
泌尿生殖系统的异常	HP:0000080	Abnormality of genital physiology	生殖生理异常	An `abnormal` (PATO:0000460) `functionality` (PATO:0001509) of the `genital system` (FMA:7160).	生殖系统发生的功能异常。
泌尿生殖系统的异常	HP:0000081	Duplicated collecting system	双套集合管系统	A duplication of the collecting system of the kidney.	肾集合管系统的重复。
泌尿生殖系统的异常	HP:0000083	Renal insufficiency	肾功能不全	A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.	肾功能的降低，肾功能包括尿液的浓缩、廓清废物、维持电解质平衡、保持血压体内平衡和钙代谢。
泌尿生殖系统的异常	HP:0000085	Horseshoe kidney	马蹄肾	A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.	由肾实质或纤维组织跨越中线峡部连接左右肾，呈现马蹄状。
泌尿生殖系统的异常	HP:0000086	Ectopic kidney	异位肾	A developmental defect in which a kidney is located in an abnormal anatomic position.	由于发育异常导致肾脏不在正常解剖位置。
泌尿生殖系统的异常	HP:0000089	Renal hypoplasia	肾发育低下	`Hypoplasia` (MPATH:133) of the `kidney` (FMA:7203).	肾发育低下。
泌尿生殖系统的异常	HP:0000090	Nephronophthisis	肾消耗病	Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.	肾皮髓质交界处囊肿形成伴肾小管间质纤维化。
泌尿生殖系统的异常	HP:0000091	Abnormality of the renal tubule	肾小管异常	An abnormality of the `renal tubules` (FMA:15627).	肾小管的异常。
泌尿生殖系统的异常	HP:0000092	Tubular atrophy	肾小管萎缩	The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.	肾小管形成厚冗余基底膜，或与周围未萎缩小管相比直径减小超过一半。
代谢/内稳态异常;泌尿生殖系统的异常	HP:0000093	Proteinuria	蛋白尿	Increased levels of protein in the urine.	尿液中蛋白质水平增加。
泌尿生殖系统的异常	HP:0000095	Abnormality of the glomerulus	肾小球异常	A structural anomaly of the `glomerulus` (FMA:15624).	肾小球的结构异常。
泌尿生殖系统的异常	HP:0000096	Glomerulosclerosis	肾小球硬化	Accumulation of scar tissue within the glomerulus.	肾小球内疤痕组织占位。
泌尿生殖系统的异常	HP:0000097	Focal segmental glomerulosclerosis	局灶性节段性肾小球硬化	Segmental accumulation of scar tissue in individual (but not all) glomeruli.	在部分（但不是全部）肾小球存在节段性瘢痕组织增加。
生长异常	HP:0000098	Tall stature	高挑身材	A height above that which is expected according to age and gender norms.	身高高于该年龄性别预期身高的正常范围。
免疫系统的异常;泌尿生殖系统的异常	HP:0000099	Glomerulonephritis	肾小球肾炎	Inflammation of the renal glomeruli.	肾小球的炎症。
泌尿生殖系统的异常	HP:0000100	Nephrotic syndrome	肾病综合征	Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.	肾病综合症包含一系列的异常，由肾小球功能障碍所致肾小球毛细血管壁通透性增加而产生明显的蛋白尿。肾病综合征是指严重的肾性蛋白质损失，致蛋白尿、低蛋白血症水肿和高血脂症等一系列临床表现。
泌尿生殖系统的异常	HP:0000103	Polyuria	多尿	An `increased rate` (PATO:0000912) of urine production.	尿液生成率增加。
泌尿生殖系统的异常	HP:0000104	Renal agenesis	肾发育不全	`Agenesis` (MPATH:57), that is, failure of the `kidney` (FMA:7203) to develop during embryogenesis and development.	肾发育不全是指在胚胎形成和发育过程中没有肾脏发育。
泌尿生殖系统的异常	HP:0000105	Enlarged kidneys	肾增大	An abnormal increase in the size of the kidney.	肾脏的大小异常增加。
泌尿生殖系统的异常	HP:0000107	Renal cyst	肾囊肿	A fluid filled sac in the kidney.	肾脏中充满液体的囊。
泌尿生殖系统的异常	HP:0000108	Renal corticomedullary cysts	肾皮髓质囊肿	The presence of multiple cysts at the border between the renal cortex and medulla.	皮质和髓质边界的多发性囊肿。
泌尿生殖系统的异常	HP:0000110	Renal dysplasia	肾发育不良	The presence of `developmental dysplasia` (MPATH:64) of the `kidney` (FMA:7203).	肾发育不良。
泌尿生殖系统的异常	HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	肾小球旁细胞肥大/增生	Increased number and size of the juxtaglomerular cells.	肾小球旁细胞数量增加和体积增大。
泌尿生殖系统的异常	HP:0000112	Nephropathy	肾病	A nonspecific term referring to disease or damage of the kidneys.	非特异性术语??，指肾脏的疾病或损伤。
泌尿生殖系统的异常	HP:0000113	Polycystic kidney dysplasia	多囊性肾发育不良	The presence of multiple cysts in both kidneys.	双侧肾脏多发囊肿。
泌尿生殖系统的异常	HP:0000114	Proximal tubulopathy	近端肾小管病	Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle.	近端肾小管功能障碍，近端肾小管是从肾小囊到细尿管袢（汉勒氏袢）的肾单位的部分管道系统。
代谢/内稳态异常;泌尿生殖系统的异常	HP:0000117	Renal phosphate wasting	肾源性磷酸盐流失	High urine phosphate in the presence of hypophosphatemia.	尿液中高磷酸盐，发生低磷血症。
泌尿生殖系统的异常	HP:0000119	Abnormality of the genitourinary system	泌尿生殖系统异常	The presence of any abnormality of the `genitourinary system` (FMA:280610).	泌尿生殖系统的异常。
泌尿生殖系统的异常	HP:0000121	Nephrocalcinosis	肾钙化质沉积症	Nephrocalcinosis is the deposition of calcium salts in renal parenchyma.	肾钙质沉着症指是钙盐在肾实质的沉积。
泌尿生殖系统的异常	HP:0000122	Unilateral renal agenesis	单侧肾未发育	A `unilateral` (PATO:0000634) form of `agenesis` (MPATH:57) of the `kidney` (FMA:7203).	肾单侧不发育。
免疫系统的异常;泌尿生殖系统的异常	HP:0000123	Nephritis	肾炎	The presence of `inflammation` (MPATH:212) affecting the `kidney` (FMA:7203).	肾脏出现炎症反应。
泌尿生殖系统的异常	HP:0000124	Renal tubular dysfunction	肾小管功能障碍		
泌尿生殖系统的异常	HP:0000125	Pelvic kidney	盆腔肾	A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.	一种肾发育缺陷，肾脏解剖位置异常，位于骨盆内。
泌尿生殖系统的异常	HP:0000126	Hydronephrosis	肾积水	Severe distention of the kidney with dilation of the renal pelvis and calices.	肾盂和肾盏扩张导致肾脏的严重扩张。
代谢/内稳态异常;泌尿生殖系统的异常	HP:0000127	Renal salt wasting	肾源性盐流失	A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).	尿液中一种或多种电解质浓度高，而血清中这些电解质浓度低。
代谢/内稳态异常;泌尿生殖系统的异常	HP:0000128	Renal potassium wasting	肾源性钾流失	High urine potassium in the presence of hypokalemia.	尿液高钾，发生低钾血症。
泌尿生殖系统的异常	HP:0000130	Abnormality of the uterus	子宫异常	An abnormality of the `uterus` (FMA:17558).	子宫的异常。
肿瘤;泌尿生殖系统的异常	HP:0000131	Uterine leiomyoma	子宫肌瘤	The presence of a `leiomyoma` (MPATH:425) of the `uterus` (FMA:17558).	子宫发生肌瘤。
内分泌系统的异常;血液和造血组织异常;泌尿生殖系统的异常	HP:0000132	Menorrhagia	月经过多症	Abnormally heavy and prolonged menstrual period.	月经异常增多和经期延长。
泌尿生殖系统的异常	HP:0000133	Gonadal dysgenesis	性腺发育不全		
内分泌系统的异常;泌尿生殖系统的异常	HP:0000134	Female hypogonadism	女性性腺功能低下	`Decreased functionality` (PATO:0001624) of the female gonads, i.e., of the `ovary` (FMA:7209).	女性的性腺即卵巢功能减退。
内分泌系统的异常;泌尿生殖系统的异常	HP:0000135	Hypogonadism	性腺机能低下	A `decreased functionality` (PATO:0001624) of the `gonad` (FMA:18250).	性腺的功能下降。
泌尿生殖系统的异常	HP:0000136	Bifid uterus	对裂子宫分	The presence of a `bifid` (PATO:0001572) `uterus` (FMA:17558).	子宫裂成两半。
泌尿生殖系统的异常	HP:0000137	Abnormality of the ovary	卵巢异常	An abnormality of the `ovary` (FMA:7209).	卵巢的异常。
泌尿生殖系统的异常	HP:0000138	Ovarian cyst	卵巢囊肿	The presence of one or more `cysts` (MPATH:62) of the `ovary` (FMA:7209).	卵巢有一个或多个囊肿。
结缔组织的异常;泌尿生殖系统的异常	HP:0000139	Uterine prolapse	子宫脱垂	The presence of `prolapse` (MPATH:626) of the `uterus` (FMA:17558).	子宫发生脱垂。
内分泌系统的异常;泌尿生殖系统的异常	HP:0000140	Abnormality of the menstrual cycle	月经周期异常	An abnormality of the `ovulation cycle` (GO:0042698).	排卵周期的异常。
内分泌系统的异常;泌尿生殖系统的异常	HP:0000141	Amenorrhea	闭经		
泌尿生殖系统的异常	HP:0000142	Abnormality of the vagina	阴道异常	An abnormality of the `vagina` (FMA:19949).	阴道的异常。
泌尿生殖系统的异常;消化系统的异常	HP:0000143	Rectovaginal fistula	直肠阴道瘘	The presence of a `fistula` (MPATH:70) between the `vagina` (FMA:19949) and the `rectum` (FMA:14544).	直肠和阴道之间的瘘管。
泌尿生殖系统的异常	HP:0000144	Decreased fertility	生育能力下降		
泌尿生殖系统的异常	HP:0000145	Transverse vaginal septum	阴道横隔		
泌尿生殖系统的异常	HP:0000147	Polycystic ovaries	多囊卵巢		
泌尿生殖系统的异常	HP:0000148	Vaginal atresia	阴道闭锁	Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.	阴道先天闭塞或阴道壁粘连造成闭锁。
肿瘤;泌尿生殖系统的异常	HP:0000149	Ovarian gonadoblastoma	卵巢性腺母细胞瘤	The presence of a `gonadoblastoma` (MPATH:315) of the `ovary` (FMA:7209).	卵巢中形成性腺母细胞瘤。
肿瘤;泌尿生殖系统的异常	HP:0000150	Gonadoblastoma	性腺母细胞瘤	The presence of a `gonadoblastoma` (MPATH:315), a `neoplasm` (MPATH:218) of a `gonad` (FMA:18250) that consists of aggregates of germ cells and sex cord elements.	性腺内发生的母细胞瘤，由生殖细胞聚集和生殖索成分组成。
泌尿生殖系统的异常	HP:0000151	aplasia of the uterus	子宫未发育	`Aplasia` (MPATH:58) of the `uterus` (FMA:17558).	子宫未能发育。
头或颈部的异常	HP:0000152	Abnormality of head and neck	头部和颈部的异常	An abnormality of `head and neck` (FMA:280881).	头部和颈部的异常
头或颈部的异常	HP:0000153	Abnormality of the mouth	嘴部异常	An abnormality of the `mouth` (FMA:49184).	嘴部的异常
头或颈部的异常	HP:0000154	Wide mouth	宽嘴	Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective).	两侧嘴角之间的距离大于平均值超过2个标准偏差。或嘴巴开口宽度显得增大（主观）。
头或颈部的异常	HP:0000155	Oral ulcer	口腔溃疡	Erosion of the mucous membrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue.	口腔粘膜表面局部开口受侵蚀，导致炎性坏死组织脱落。
头或颈部的异常	HP:0000157	Abnormality of the tongue	舌异常	Any abnormality of the `tongue` (FMA:54640).	舌头的任何异常
头或颈部的异常;肌肉组织的异常	HP:0000158	Macroglossia	巨舌	Increased length and width of the tongue.	舌头的长度和宽度增加。
头或颈部的异常	HP:0000159	Abnormality of the lip	唇异常	An abnormality of the `lip` (FMA:59815).	唇部的异常
头或颈部的异常	HP:0000160	Narrow mouth	嘴巴狭窄	Distance between the commissures of the `mouth` (FMA:49184) more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).	嘴巴的连合间距离低于平均值超过2个标准偏差。或者嘴巴开口的距离显得减小（主观）。
头或颈部的异常	HP:0000161	Median cleft lip	正中唇裂	A type of `cleft lip` (HP:0000204) presenting as a midline (median) gap in the upper lip.	一种表现为有上唇中线（中）沟痕的唇裂。
头或颈部的异常	HP:0000162	Glossoptosis	舌后坠	Posterior displacement of the tongue into the pharynx, i.e., a `tongue` (FMA:54640) that is `mislocalised posteriorly` (PATO:0001922).	舌头向后位移到咽部，即舌头向后错位
头或颈部的异常	HP:0000163	Abnormality of the oral cavity	口腔异常	Abnormality of the `oral cavity` (FMA:20292), i.e., the opening or hollow part of the mouth.	口腔的异常，即开口或嘴中空的部分。
头或颈部的异常	HP:0000164	Abnormality of the teeth	牙齿异常	Any abnormality of the `teeth` (FMA:12516).	牙齿的任何异常
头或颈部的异常;免疫系统的异常	HP:0000166	Severe periodontitis	重度牙周炎	A `severe` (PATO:0000396) form of `periodontitis` (HP:0000165).	牙周炎程度严重
头或颈部的异常	HP:0000168	Abnormality of the gingiva	牙龈异常	Any abnormality of the `gingiva` (FMA:59762) (also known as gums).	牙龈的任何异常
肿瘤;头或颈部的异常	HP:0000169	Gingival fibromatosis	牙龈纤维瘤病	The presence of `fibrosis` (MPATH:181) of the `gingiva` (FMA:59762).	牙龈出现纤维瘤
头或颈部的异常	HP:0000171	Microglossia	小舌畸形	Decreased length and width of the `tongue` (FMA:54640).	舌的长度和宽度减小的。
