OMIM编码	英文名	中文译名
OMIM:607595	BRAIN SMALL VESSEL DISEASE WITH OR WITHOUT OCULAR ANOMALIES; BSVD	单纯性脑部小血管病变或伴随眼部异常性脑部小血管病变（BSVD）
OMIM:611773	ANGIOPATHY, HEREDITARY, WITH NEPHROPATHY, ANEURYSMS, AND MUSCLE CRAMPS; HANAC	遗传性血管病合并肾病，动脉瘤和肌肉痉挛综合征；HANAC
OMIM:180000	RETINAL ARTERIES, TORTUOSITY OF; RATOR	视网膜动脉迂曲
OMIM:143095	SPONDYLOEPIPHYSEAL DYSPLASIA WITH CONGENITAL JOINT DISLOCATIONS; SEDCJD	脊椎骨骺发育不良伴先天性关节脱臼(SED)
OMIM:608446	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO	易感性心肌梗死
OMIM:217800	MACULAR DYSTROPHY, CORNEAL; MCD	黄斑角膜营养不良症-1；MCDC1
OMIM:253270	HOLOCARBOXYLASE SYNTHETASE DEFICIENCY	新生儿多重羧化酶缺乏症
OMIM:184460	STAPES ANKYLOSIS WITH BROAD THUMB AND TOES	拇指和脚趾镫骨关节强直症
OMIM:186570	TARSAL-CARPAL COALITION SYNDROME; TCC	跗骨-腕骨联体综合征；TCC
OMIM:185800	SYMPHALANGISM, PROXIMAL, 1A; SYM1A	近端指间关节粘连1A（SYM1A）
OMIM:611377	BRACHYDACTYLY, TYPE B2; BDB2	短指/趾B2型（BDB2）
OMIM:186500	MULTIPLE SYNOSTOSES SYNDROME 1; SYNS1	多发性骨性连结综合征1（ SYNS1）
OMIM:609939	SYSTEMIC LUPUS ERYTHEMATOSUS, SUSCEPTIBILITY TO, 6; SLEB6	系统性红斑狼疮易感性
OMIM:613115	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIB; HSAN2B	遗传性感觉和自主神经病变IIB型（HSN2B）
OMIM:615342	PULMONARY HYPERTENSION, PRIMARY, 2; PPH2	原发性肺动脉高压2型（PPH2）
OMIM:139210	MYHRE SYNDROME; MYHRS	迈尔综合征（MYHRS）
OMIM:175050	JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME; JPHT	青少年息肉/遗传性出血性毛细血管扩张综合征;JPHT
OMIM:260350	PANCREATIC CANCER	胰腺癌
OMIM:174900	JUVENILE POLYPOSIS SYNDROME; JPS	幼年性息肉病综合征 (JPS)
OMIM:614823	AORTIC VALVE DISEASE 2; AOVD2	主动脉瓣疾病-2（Aortic Valve Disease 2，AOVD2）
OMIM:612229	COLORECTAL CANCER, SUSCEPTIBILITY TO, 3; CRCS3	易感性结直肠癌3(CRCS3)
OMIM:613795	LOEYS-DIETZ SYNDROME 3; LDS3	LOEYS-DIETZ综合征-3；LDS3
OMIM:114550	HEPATOCELLULAR CARCINOMA	肝癌
OMIM:138500	HYPERGLYCINURIA	高甘氨酸尿症
OMIM:242600	IMINOGLYCINURIA	亚氨基甘氨酸尿症 （Iminoglycinuria）
OMIM:616060	BLOOD GROUP, DOMBROCK SYSTEM; DO	DOMBROCK血型系统 (DO)
OMIM:612714	EXOCRINE PANCREATIC INSUFFICIENCY, DYSERYTHROPOIETIC ANEMIA, AND CALVARIAL HYPEROSTOSIS	胰脏外分泌功能不足、异常红血球生成贫血、颅盖骨肥大症
OMIM:313500	TOOTH AGENESIS, SELECTIVE, X-LINKED, 1; STHAGX1	X-连锁选择性牙齿发育不全1型；STHAGX1
OMIM:305100	ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-LINKED; XHED	外胚层发育不良1，少汗，X连锁；XHED
OMIM:312170	PYRUVATE DEHYDROGENASE E1-ALPHA DEFICIENCY; PDHAD	丙酮酸脱氢酶E1-α缺乏症；PDHAD
OMIM:615067	CILIARY DYSKINESIA, PRIMARY, 20; CILD20	原发性睫状体运动障碍-20；CILD20
OMIM:614820	ALTERNATING HEMIPLEGIA OF CHILDHOOD 2; AHC2	儿童交替性偏瘫2型；AHC2
OMIM:601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURAL HEARING LOSS; CAPOS	小脑性共济失调-反射消失-高弓足-视神经萎缩-感觉神经性耳聋综合征(CAPOS)
OMIM:128235	DYSTONIA 12; DYT12	肌张力障碍12;DYT12
OMIM:104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1	儿童交替性偏瘫（AHC1）
OMIM:602481	MIGRAINE, FAMILIAL HEMIPLEGIC, 2; FHM2	家族性偏瘫型偏头痛2型；FHM2
OMIM:610682	OSTEOGENESIS IMPERFECTA, TYPE VII; OI7	成骨不全症VII型（OI7）
OMIM:613163	GABA-TRANSAMINASE DEFICIENCY	γ-氨基丁酸转氨酶缺乏
OMIM:611263	SHORT-RIB THORACIC DYSPLASIA 2 WITH OR WITHOUT POLYDACTYLY; SRTD2	短肋胸廓发育不良2型有或无多指畸形；SRTD2
OMIM:182230	SEPTOOPTIC DYSPLASIA	视隔发育不良
OMIM:602078	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 2; CFEOM2	先天性眼外肌纤维化综合征-2（Congenital Fibrosis of Extraocular Muscles Type 2，CFEOM2）
OMIM:613013	NEUROBLASTOMA, SUSCEPTIBILITY TO, 2; NBLST2	易感性神经母细胞瘤2（NBLST2）
OMIM:209880	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS	先天性中心肺换气不足综合征；CCHS
OMIM:609814	COMPLEMENT FACTOR H DEFICIENCY; CFHD	补体因子H缺乏症（CFHD）
OMIM:610698	MACULAR DEGENERATION, AGE-RELATED, 4; ARMD4	年龄相关型黄斑变性4; ARMS4
OMIM:235400	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1	非典型溶血尿毒综合征1（AHUS1）
OMIM:126700	BASAL LAMINAR DRUSEN	基底层玻璃膜疣
OMIM:616281	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 49; MRT49	常染色体隐性精神发育停滞-49（MRT49）
OMIM:613179	PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY	嘌呤核苷磷酸化酶缺乏症
OMIM:615561	COMPLEMENT FACTOR B DEFICIENCY; CFBD	补体B因子缺乏症；CFBD
OMIM:612924	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 4; AHUS4	溶血性尿毒症综合征，非典型，易感，4型；AHUS4
OMIM:125853	DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM	非胰岛素依赖型糖尿病
OMIM:312060	PROPERDIN DEFICIENCY, X-LINKED; CFPD	备解素缺乏症，X连锁；CFPD
OMIM:231550	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME; AAAS	失弛缓-ADDISONIANISM-无泪综合征（ AAAS）
OMIM:613313	HEMOCHROMATOSIS, TYPE 2B; HFE2B	血色素沉着症-2B（Hemochromatosis，Type 2B，HFE2B）
OMIM:220110	MITOCHONDRIAL COMPLEX IV DEFICIENCY	线粒体复合物Ⅳ（细胞色素c氧化酶）缺乏症
OMIM:610896	BRANCHIOOTORENAL SYNDROME 2; BOR2	鳃-耳-肾综合征-2（Branchiootorenal Syndrome 2，BOR2）
OMIM:212550	OPTIC DISC ANOMALIES WITH RETINAL AND/OR MACULAR DYSTROPHY; ODRMD	视盘异常伴视网膜和/或黄斑变性（ODRMD）
OMIM:608389	BRANCHIOOTIC SYNDROME 3; BOS3	鳃耳综合征-3（Branchiootic Syndrome，BOS3）
OMIM:605192	DEAFNESS, AUTOSOMAL DOMINANT 23; DFNA23	23型常染色体显性遗传性耳聋；DFNA23
OMIM:157170	HOLOPROSENCEPHALY 2; HPE2	前脑无裂畸形2型（HPE2）
OMIM:269160	SCHIZENCEPHALY	脑裂畸形（Schizencephaly）
OMIM:615530	PARKINSON DISEASE 20, EARLY-ONSET; PARK20	早发性帕金森病20型；PARK20
OMIM:148600	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE IA; PPKP1A	点状掌跖角化病IA型；PPKP1A
OMIM:615278	CARDIOFACIOCUTANEOUS SYNDROME 2; CFC2	心脸皮肤综合症-2；CFC2
OMIM:260350	PANCREATIC CANCER	胰腺癌
OMIM:211980	LUNG CANCER	肺癌
OMIM:601626	LEUKEMIA, ACUTE MYELOID; AML	急性髓性白血病；AML
OMIM:609942	NOONAN SYNDROME 3; NS3	NOONAN综合征3; NS3
OMIM:114480	BREAST CANCER	乳腺癌
OMIM:109800	BLADDER CANCER	膀胱癌（Bladder Cancer）
OMIM:137215	GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC	遗传性弥漫性胃癌（HDFC）
OMIM:163200	SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM	SCHIMMELPENNING-FEUERSTEIN-MIMS综合征；SFM
OMIM:614470	RAS-ASSOCIATED AUTOIMMUNE LEUKOPROLIFERATIVE DISORDER; RALD	RAS相关基因所致的自身免疫性白细胞增生症（RALD）
OMIM:608189	TROPICAL CALCIFIC PANCREATITIS	热带钙化性胰腺炎
OMIM:167800	PANCREATITIS, HEREDITARY; PCTT	胰腺炎，遗传性；PCTT
OMIM:209920	BARE LYMPHOCYTE SYNDROME, TYPE II	裸淋巴细胞综合征， II型
OMIM:615710	MITCHELL-RILEY SYNDROME; MTCHRS	MITCHELL-RILEY综合征(MTCHRS)
OMIM:615330	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 3; MMDS3	线粒体多功能紊乱综合征-3；MMDS3
OMIM:114550	HEPATOCELLULAR CARCINOMA	肝癌
OMIM:135290	DESMOID DISEASE, HEREDITARY	硬纤维瘤病，遗传性
OMIM:175100	FAMILIAL ADENOMATOUS POLYPOSIS 1; FAP1	家族性腺瘤性息肉病1（FAP1）
OMIM:613659	GASTRIC CANCER	胃癌
OMIM:114500	COLORECTAL CANCER; CRC	结直肠癌；CRC
OMIM:615160	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 5; MC3DN5	线粒体复合物Ⅲ缺乏症，游离核型-5
OMIM:300909	ANGIOEDEMA INDUCED BY ACE INHIBITORS, SUSCEPTIBILITY TO; AEACEI	ACE抑制剂所敏感性致血管性水肿
OMIM:613159	NEPHRONOPHTHISIS-LIKE NEPHROPATHY 1; NPHPL1	类肾结核肾病1；NPHPL1
OMIM:277450	VITAMIN K-DEPENDENT CLOTTING FACTORS, COMBINED DEFICIENCY OF, 1; VKCFD1	维生素K依赖性凝血因子合并缺乏症1（VKCFD1）
OMIM:610842	PSEUDOXANTHOMA ELASTICUM-LIKE DISORDER WITH MULTIPLE COAGULATION FACTOR DEFICIENCY	伴多种凝血因子缺乏的类弹性假黄色瘤疾病
OMIM:615873	HELSMOORTEL-VAN DER AA SYNDROME; HVDAS	HELSMOORTEL-VAN DER AA综合征（HVDAS）
OMIM:176410	PRECOCIOUS PUBERTY, MALE-LIMITED	性早熟，受男性限制
OMIM:238320	LEYDIG CELL HYPOPLASIA, TYPE I	睾丸间质细胞发育不良（LCH）I型
OMIM:614224	RETINAL ARTERIAL MACROANEURYSM WITH SUPRAVALVULAR PULMONIC STENOSIS; RAMSVPS	伴肺动脉瓣上狭窄的视网膜大动脉瘤（RAMSVPS）
OMIM:600081	VITAMIN D HYDROXYLATION-DEFICIENT RICKETS, TYPE 1B; VDDR1B	缺乏羟基化维生素D型佝偻病1B型；BDDR1B
OMIM:133200	ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA; EKVP	进行性可变性红斑皮肤角化症（EKVP）
OMIM:600309	ATRIOVENTRICULAR SEPTAL DEFECT 3; AVSD3	房室间隔缺损-3（AVSD3）
OMIM:218400	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL RECESSIVE; CMDR	常染色体隐性遗传性颅骨干骺端发育不良（CMDR）
OMIM:257850	OCULODENTODIGITAL DYSPLASIA, AUTOSOMAL RECESSIVE	眼齿指发育不良（常染色体隐性遗传病）
OMIM:186100	SYNDACTYLY, TYPE III	3型并指畸形
OMIM:241550	HYPOPLASTIC LEFT HEART SYNDROME 1; HLHS1	左心发育不良综合征1型；HLHS1
OMIM:164200	OCULODENTODIGITAL DYSPLASIA; ODDD	眼齿指发育不良（ODDD）
OMIM:601885	CATARACT 14, MULTIPLE TYPES; CTRCT14	白内障14，多种类型（CTRCT14）
OMIM:614049	ATRIAL FIBRILLATION, FAMILIAL, 11; ATFB11	家族性心房颤动-11（ATFB11）
OMIM:108770	ATRIAL STANDSTILL 1; ATRST1	心房静止1（ATRST1）
OMIM:226400	EPIDERMODYSPLASIA VERRUCIFORMIS; EV	疣状表皮发育不良（EV）
OMIM:600974	DEAFNESS, AUTOSOMAL RECESSIVE 7; DFNB7	常染色体隐性耳聋-7（DFNB7）
OMIM:606705	DEAFNESS, AUTOSOMAL DOMINANT 36; DFNA36	常染色体显性遗传性耳聋36（DFNA36）
OMIM:603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	白质消融性白质脑病
OMIM:603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	白质消融性白质脑病
OMIM:226400	EPIDERMODYSPLASIA VERRUCIFORMIS; EV	疣状表皮发育不良（EV）
OMIM:603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	白质消融性白质脑病
OMIM:603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	白质消融性白质脑病
OMIM:300853	IMMUNODEFICIENCY, X-LINKED, WITH MAGNESIUM DEFECT, EPSTEIN-BARR VIRUS INFECTION, AND NEOPLASIA; XMEN	伴镁缺乏、EB病毒感染及肿瘤的X染色体连锁免疫缺陷病（XMEN）
OMIM:601626	LEUKEMIA, ACUTE MYELOID; AML	急性髓性白血病；AML
OMIM:266920	SHORT-RIB THORACIC DYSPLASIA 9 WITH OR WITHOUT POLYDACTYLY; SRTD9	伴或不伴多指畸形短肋胸廓发育不良9
OMIM:612650	CILIARY DYSKINESIA, PRIMARY, 12; CILD12	原发性纤毛运动障碍12（CILD12）
OMIM:187800	BLEEDING DISORDER, PLATELET-TYPE, 16; BDPLT16	血小板异常出血性疾病-16（BDPLT16）
OMIM:273800	GLANZMANN THROMBASTHENIA; GT	血小板无力症（GT）
OMIM:615481	CILIARY DYSKINESIA, PRIMARY, 24; CILD24	原发性睫状体运动障碍-24；CILD24
OMIM:600901	FANCONI ANEMIA, COMPLEMENTATION GROUP E; FANCE	范可尼贫血互补组E型（FANCE）
OMIM:235400	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1	非典型溶血尿毒综合征1（AHUS1）
OMIM:603075	MACULAR DEGENERATION, AGE-RELATED, 1; ARMD1	年龄相关型黄斑变性1；AMD1
OMIM:600807	ASTHMA, SUSCEPTIBILITY TO	哮喘，易感性
OMIM:614436	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2P; CMT2P	腓骨肌萎缩症,轴突型，类型：2P ；CMT 2P
OMIM:608996	PREMATURE OVARIAN FAILURE 3; POF3	卵巢早衰3（POF3）
OMIM:110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES	睑裂狭小、上睑下垂和内眦赘皮倒向型（ BPES）
OMIM:226730	EPIDERMOLYSIS BULLOSA JUNCTIONALIS WITH PYLORIC ATRESIA	结合部大疱性表皮松解症伴幽门闭锁
OMIM:125400	DENTIN DYSPLASIA, TYPE I; DTDP1	I型牙本质发育不良；DTDP1
OMIM:206920	MICROPHTHALMIA WITH LIMB ANOMALIES; MLA	小眼畸形伴肢体异常
OMIM:269840	IMMUNODEFICIENCY 48; IMD48	选择性T细胞缺陷；STCD
OMIM:260400	SHWACHMAN-DIAMOND SYNDROME; SDS	Shwachman-Diamond综合征（SDS）
OMIM:609135	APLASTIC ANEMIA	再生障碍性贫血
OMIM:613255	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 15; CMH15	家族性肥厚型心肌病15
OMIM:611407	CARDIOMYOPATHY, DILATED, 1W; CMD1W	扩张型心肌病1W（CMD1W）
OMIM:613954	AMYOTROPHIC LATERAL SCLEROSIS 14 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA; ALS14	肌萎缩性脊髓侧索硬化症14（伴或不伴额颞叶痴呆）；ALS14
OMIM:167320	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 1; IBMPFD1	包涵体肌病伴早发型Paget病和额颞叶痴呆1（IBMPFD1）
OMIM:236792	L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA	L-2羟戊二酸尿（L2HGA）
OMIM:612562	DIAMOND-BLACKFAN ANEMIA 7; DBA7	戴-布二氏贫血7（DBA7）
OMIM:176310	None	PRE-B细胞白血病转录因子-1；PBX1
OMIM:240300	AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE I, WITH OR WITHOUT REVERSIBLE METAPHYSEAL DYSPLASIA; APS1	自身免疫性多内分泌腺病综合征I型伴或不伴可逆性干骺端发育不良（APS1）
OMIM:611091	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 5; MRT5	常染色体隐性5型精神发育迟缓；MRT5
OMIM:615412	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 4; CDCBM4	复杂的皮质发育不良伴有其它脑畸形4（CDCBM4）
OMIM:109400	BASAL CELL NEVUS SYNDROME; BCNS	基底细胞痣综合征；BCNS
OMIM:155255	MEDULLOBLASTOMA; MDB	成神经管细胞瘤；MDB
OMIM:605462	BASAL CELL CARCINOMA, SUSCEPTIBILITY TO, 1; BCC1	易患性基底细胞癌1（BCC1）
OMIM:109400	BASAL CELL NEVUS SYNDROME; BCNS	基底细胞痣综合征；BCNS
OMIM:610828	HOLOPROSENCEPHALY 7; HPE7	7型前脑发育畸形症；HPE7
OMIM:605462	BASAL CELL CARCINOMA, SUSCEPTIBILITY TO, 1; BCC1	易患性基底细胞癌1（BCC1）
OMIM:610678	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 4; COXPD4	合并氧化磷酸化缺陷4（COXPD4）
OMIM:245600	MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT CONGENITAL HEART DEFECTS; JDSCD	关节脱位，身材矮小，面部异形以及先天性心脏缺陷
OMIM:616249	LONG QT SYNDROME 15; LQT15	QT间期延长综合征-15；LQT15
OMIM:248900	MAST SYNDROME	Mast综合征
OMIM:275900	SPASTIC PARAPLEGIA 20, AUTOSOMAL RECESSIVE; SPG20	常染色体隐性遗传性痉挛性偏瘫-20；SPG20
OMIM:607628	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 11; EIG11	特发全身性癫痫易感性11；EIG11
OMIM:615651	LEUKOENCEPHALOPATHY WITH ATAXIA; LKPAT	脑白质病伴共济失调（LKPAT）
OMIM:160800	MYOTONIA CONGENITA, AUTOSOMAL DOMINANT	先天性肌强直，常染色体显性遗传
OMIM:255700	MYOTONIA CONGENITA, AUTOSOMAL RECESSIVE	先天性肌强直，常染色体隐性
OMIM:611490	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 4; OPTB4	骨硬化病，4型常染色体隐性遗传病；OPTB4
OMIM:310468	NEPHROLITHIASIS, X-LINKED RECESSIVE, WITH RENAL FAILURE; XRN	X-连锁隐性遗传性肾结石伴肾功能衰竭
OMIM:300554	HYPOPHOSPHATEMIC RICKETS, X-LINKED RECESSIVE	X-连锁隐性遗传性低磷性佝偻病
OMIM:308990	PROTEINURIA, LOW MOLECULAR WEIGHT, WITH HYPERCALCIURIA AND NEPHROCALCINOSIS	低分子量蛋白尿伴高钙尿和肾钙质沉着症
OMIM:300009	DENT DISEASE 1	DENT病1
OMIM:300114	MENTAL RETARDATION, X-LINKED 49; MRX49	X连锁型智力迟钝49；MRX49
OMIM:114500	COLORECTAL CANCER; CRC	结直肠癌；CRC
OMIM:163950	NOONAN SYNDROME 1; NS1	努南综合征1；NS1
OMIM:156250	METACHONDROMATOSIS; METCDS	混合性软骨瘤病（METCDS）
OMIM:151100	LEOPARD SYNDROME 1; LPRD1	1型LEOPARD综合征（LPRD1）
OMIM:607785	JUVENILE MYELOMONOCYTIC LEUKEMIA; JMML	幼年型粒-单核细胞白血病（JMML）
OMIM:613611	CHOANAL ATRESIA AND LYMPHEDEMA	后鼻孔闭锁及淋巴水肿
OMIM:615547	SCHAAF-YANG SYNDROME; SHFYNG	Schaaf-Yang综合征；SHFYNG
OMIM:614370	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 5; SMDP5	肺表面物质功能障碍疾病-5；SMDP5
OMIM:615595	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 19; COXPD19	联合氧化磷酸化缺乏症-19；COXPD19
OMIM:188050	THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	原发性先天性青光眼3A（GLC3A）
OMIM:601455	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D; CMT4D	腓骨肌萎缩症4d型；CMT4D
OMIM:123400	CREUTZFELDT-JAKOB DISEASE; CJD	库贾氏病；CJD
